120,1,0.962984
120,2,0.947590
120,3,0.924785
120,4,0.930265
120,5,0.932492
120,6,0.937705
120,7,0.942801
120,8,0.937963
120,9,0.940293
120,10,0.942717
120,11,0.943726
120,12,0.945403
120,13,0.944762
120,14,0.945803
120,15,0.946008
120,16,0.946478
120,17,0.946180
120,18,0.947745
120,19,0.949044
120,20,0.950235
120,21,0.950605
120,22,0.950718
120,23,0.951988
120,24,0.953339
120,25,0.953504
120,26,0.953782
120,27,0.954329
120,28,0.954447
120,29,0.955058
120,30,0.955461
120,31,0.956008
120,32,0.956385
120,33,0.956447
120,34,0.957197
120,35,0.957196
120,36,0.957317
120,37,0.957452
120,38,0.957970
120,39,0.957764
120,40,0.957371
120,41,0.957819
120,42,0.957556
120,43,0.957941
120,44,0.958036
120,45,0.958203
120,46,0.958522
120,47,0.958267
120,48,0.958727
120,49,0.958933
120,50,0.959156
120,51,0.958420
120,52,0.958680
120,53,0.959200
120,54,0.959184
120,55,0.955663
120,56,0.954132
120,57,0.955115
120,58,0.956385
120,59,0.956555
120,60,0.956039
120,61,0.955328
120,62,0.955755
120,63,0.956905
120,64,0.956647
120,65,0.955548
120,66,0.954071
120,67,0.953282
120,68,0.953791
120,69,0.954052
120,70,0.954708
120,71,0.955287
120,72,0.955896
120,73,0.956938
120,74,0.953777
120,75,0.955753
120,76,0.953120
120,77,0.953857
120,78,0.954380
120,79,0.953802
120,80,0.953088
120,81,0.952567
120,82,0.952690
120,83,0.956963
120,84,0.957288
120,85,0.957661
120,86,0.957487
120,87,0.956431
120,88,0.956072
120,89,0.955012
120,90,0.954335
120,91,0.954687
120,92,0.954867
120,93,0.955073
120,94,0.955075
120,95,0.955798
120,96,0.956162
120,97,0.957041
120,98,0.957333
120,99,0.956948
120,100,0.959662
120,101,0.959641
120,102,0.955698
120,103,0.955722
120,104,0.955578
120,105,0.954986
120,106,0.955178
120,107,0.955321
120,108,0.955000
120,109,0.955157
120,110,0.956149
120,111,0.956510
120,112,0.956589
120,113,0.956801
120,114,0.955772
120,115,0.956088
120,116,0.956457
120,117,0.956137
120,118,0.956086
120,119,0.956019
120,120,0.956384

