1.3213,1599703289.1599703289286540
1.5621,1599703290.1599703290849001
1.1926,1599703292.1599703292041882
1.1697,1599703293.1599703293211835
1.2047,1599703294.1599703294418377
1.2393,1599703295.1599703295658608
1.2510,1599703296.1599703296910263
1.4628,1599703298.1599703298373450
1.2211,1599703299.1599703299594924
2.4889,1599703302.1599703302084327
2.8737,1599703304.1599703304958417
1.0615,1599703306.1599703306020280
1.2139,1599703307.1599703307234844
1.9220,1599703309.1599703309157425
1.1516,1599703310.1599703310309435
1.3582,1599703311.1599703311667953
